Site,Replicate,Mining,Miningfac,Survey,Time,Colour,Soil_moisture,Rainfall_3mth,,,,,,,
BS,1,Unmined reference,1,3,2015.1,3,86.9,320.9,,,,,,,
BS,2,Unmined reference,1,3,2015.1,3,95.66666667,320.9,,,,,,,
BS,3,Unmined reference,1,3,2015.1,3,91.66666667,320.9,,,,,,,
BS,4,Unmined reference,1,3,2015.1,3,89.36666667,320.9,,,,,,,
BS,5,Unmined reference,1,3,2015.1,3,91.06666667,320.9,,,,,,,
BS,6,Unmined reference,1,3,2015.1,3,90.4,320.9,,,,,,,
BS,7,Unmined reference,1,3,2015.1,3,92.4,320.9,,,,,,,
BS,8,Unmined reference,1,3,2015.1,3,94.56666667,320.9,,,,,,,
BS,9,Unmined reference,1,3,2015.1,3,92.13333333,320.9,,,,,,,
BS,10,Unmined reference,1,3,2015.1,3,93.1,320.9,,,,,,,
BS,1,Unmined reference,1,5,2017.1,3,86.6,190.8,,,,,,,
BS,2,Unmined reference,1,5,2017.1,3,87.8,190.8,,,,,,,
BS,3,Unmined reference,1,5,2017.1,3,85.23333333,190.8,,,,,,,
BS,4,Unmined reference,1,5,2017.1,3,74.13333333,190.8,,,,,,,
BS,5,Unmined reference,1,5,2017.1,3,86.36666667,190.8,,,,,,,
BS,6,Unmined reference,1,5,2017.1,3,86.23333333,190.8,,,,,,,
BS,7,Unmined reference,1,5,2017.1,3,91.53333333,190.8,,,,,,,
BS,8,Unmined reference,1,5,2017.1,3,81.83333333,190.8,,,,,,,
BS,9,Unmined reference,1,5,2017.1,3,92.1,190.8,,,,,,,
BS,10,Unmined reference,1,5,2017.1,3,93.06666667,190.8,,,,,,,
BS,1,Unmined reference,1,6,2018.1,3,91.9,181.8,,,,,,,
BS,2,Unmined reference,1,6,2018.1,3,74.5,181.8,,,,,,,
BS,3,Unmined reference,1,6,2018.1,3,90.3,181.8,,,,,,,
BS,4,Unmined reference,1,6,2018.1,3,89.2,181.8,,,,,,,
BS,5,Unmined reference,1,6,2018.1,3,89.2,181.8,,,,,,,
BS,6,Unmined reference,1,6,2018.1,3,89.3,181.8,,,,,,,
BS,7,Unmined reference,1,6,2018.1,3,91.4,181.8,,,,,,,
BS,8,Unmined reference,1,6,2018.1,3,92.7,181.8,,,,,,,
BS,9,Unmined reference,1,6,2018.1,3,92.3,181.8,,,,,,,
BS,10,Unmined reference,1,6,2018.1,3,90.8,181.8,,,,,,,
BS,1,Unmined reference,1,7,2019.1,3,91.63333333,369.2,,,,,,,
BS,2,Unmined reference,1,7,2019.1,3,91.83333333,369.2,,,,,,,
BS,3,Unmined reference,1,7,2019.1,3,90.36666667,369.2,,,,,,,
BS,4,Unmined reference,1,7,2019.1,3,91,369.2,,,,,,,
BS,5,Unmined reference,1,7,2019.1,3,90.5,369.2,,,,,,,
BS,6,Unmined reference,1,7,2019.1,3,90.56666667,369.2,,,,,,,
BS,7,Unmined reference,1,7,2019.1,3,93.6,369.2,,,,,,,
BS,8,Unmined reference,1,7,2019.1,3,92.3,369.2,,,,,,,
BS,9,Unmined reference,1,7,2019.1,3,90.46666667,369.2,,,,,,,
BS,10,Unmined reference,1,7,2019.1,3,92.76666667,369.2,,,,,,,
BS,1,Unmined reference,1,8,2020,3,93.9,92,,,,,,,
BS,2,Unmined reference,1,8,2020,3,76.4,92,,,,,,,
BS,3,Unmined reference,1,8,2020,3,90.7,92,,,,,,,
BS,4,Unmined reference,1,8,2020,3,91.3,92,,,,,,,
BS,5,Unmined reference,1,8,2020,3,88.3,92,,,,,,,
BS,6,Unmined reference,1,8,2020,3,89.1,92,,,,,,,
BS,7,Unmined reference,1,8,2020,3,91,92,,,,,,,
BS,8,Unmined reference,1,8,2020,3,92.3,92,,,,,,,
BS,9,Unmined reference,1,8,2020,3,92.2,92,,,,,,,
BS,10,Unmined reference,1,8,2020,3,94.9,92,,,,,,,
BS,1,Unmined reference,1,9,2021.1,3,94.2,246.5,,,,,,,
BS,2,Unmined reference,1,9,2021.1,3,90.47,246.5,,,,,,,
BS,3,Unmined reference,1,9,2021.1,3,69.5,246.5,,,,,,,
BS,4,Unmined reference,1,9,2021.1,3,65.83,246.5,,,,,,,
BS,5,Unmined reference,1,9,2021.1,3,69.33,246.5,,,,,,,
BS,6,Unmined reference,1,9,2021.1,3,78.67,246.5,,,,,,,
BS,7,Unmined reference,1,9,2021.1,3,78.43,246.5,,,,,,,
BS,8,Unmined reference,1,9,2021.1,3,85.03,246.5,,,,,,,
BS,9,Unmined reference,1,9,2021.1,3,66.67,246.5,,,,,,,
BS,10,Unmined reference,1,9,2021.1,3,87.77,246.5,,,,,,,
BS,1,Unmined reference,1,10,2022.2,3,95.96666667,560.1,,,,,,,
BS,2,Unmined reference,1,10,2022.2,3,95.76666667,560.1,,,,,,,
BS,3,Unmined reference,1,10,2022.2,3,88.4,560.1,,,,,,,
